/home/sergio/BOSSSamples/new64x128/Pos/full_100
Set,Negs,TN,FP,Pos,TP,FN,Total,Precision,Recall
Cell_phone_Spanish.Cam1,519,483,36,157,147,10,676,0.803279,0.936306
Checkout_French.Cam1,1248,1137,111,1299,1246,53,2547,0.918202,0.959199
Disease.Cam1,3006,2892,114,817,678,139,3823,0.856061,0.829865
Disease_Public.Cam1,1018,853,165,1694,1607,87,2712,0.906885,0.948642
Faces_4.Cam1,2743,2697,46,307,228,79,3050,0.832117,0.742671
Faces_5.Cam1,1017,975,42,99,92,7,1116,0.686567,0.929293
Faces_6.Cam1,2364,2291,73,247,232,15,2611,0.760656,0.939271
Faces_7.Cam1,2253,2209,44,218,167,51,2471,0.791469,0.766055
Harass2_French.Cam1,0,0,0,1511,1314,197,1511,1,0.869623
Harass_French.Cam1,905,854,51,434,388,46,1339,0.883827,0.894009
Harass_Spanish.Cam1,886,835,51,532,506,26,1418,0.908438,0.951128
Newspaper_French.Cam1,1215,1104,111,1620,1491,129,2835,0.930712,0.92037
Newspaper_Spanish.Cam1,1151,1059,92,1346,1151,195,2497,0.925986,0.855126
No_Event.Cam1,1024,949,75,2154,1783,371,3178,0.959634,0.827762
No_Event2.Cam1,1492,1329,163,1984,1398,586,3476,0.89558,0.704637
Panic.Cam1,1308,1206,102,1833,1636,197,3141,0.941312,0.892526
