/home/sergio/Programming/MJara/Proyecto/data/original/pos,,,,,,,,,,,,,
Set,Negs,TN,FP,Pos,TP,FN,Total,Precision,Recall,MeanTP,MeanTN,MeanFP,MeanFP
A_d800mm_R1,5389,5247,142,3593,3229,364,8982,0.957876,0.898692,-0.510534,1.00265,-0.132622,0.186761
A_d800mm_R2,5094,5032,62,3396,3192,204,8490,0.980947,0.939929,-0.462904,1.06625,-0.107465,0.108017
A_d800mm_R3,5304,5160,144,3536,3428,108,8840,0.959686,0.969457,-0.595271,0.938261,-0.133346,0.121868
A_d800mm_R4,5790,5706,84,3860,3497,363,9650,0.976543,0.905959,-0.381852,1.01344,-0.103793,0.146877
A_d800mm_R5,5250,5107,143,3500,3353,147,8750,0.959096,0.958,-0.583313,1.1104,-0.117344,0.173769
A_d800mm_R6,8314,8097,217,5543,5035,508,13857,0.958682,0.908353,-0.511014,0.975259,-0.112605,0.138902
A_d800mm_R7,6429,6280,149,4286,3872,414,10715,0.962945,0.903406,-0.511653,0.89723,-0.106127,0.166159
A_d800mm_R8,7285,6967,318,4857,4458,399,12142,0.933417,0.917851,-0.491702,0.869187,-0.143819,0.100847
B_No_d800mm_R1,11665,11417,248,7777,7420,357,19442,0.967658,0.954095,-0.543764,0.965763,-0.141913,0.101751
B_No_d800mm_R2,10098,9929,169,6732,6482,250,16830,0.97459,0.962864,-0.509525,0.907239,-0.11568,0.0868326
B_No_d800mm_R3,10513,10316,197,7009,6667,342,17522,0.9713,0.951206,-0.553739,0.940488,-0.124772,0.153076
B_No_d800mm_R4,11772,11376,396,7848,7739,109,19620,0.951321,0.986111,-0.686014,0.953704,-0.151169,0.112106
B_No_d800mm_R5,11811,11626,185,7874,7394,480,19685,0.97559,0.93904,-0.504375,0.941709,-0.111466,0.125446
B_No_d800mm_R6,11643,11341,302,7762,7343,419,19405,0.960497,0.946019,-0.545956,0.81268,-0.1326,0.142598
B_No_d800mm_R7,11566,11152,414,7711,7417,294,19277,0.947133,0.961873,-0.485084,0.812594,-0.139095,0.141106
,,,,,,,,96.24854%,94.0190333333333%,,,,
,,,,,,,,1.26085730177073%,2.72244074411879%,,,,
