/home/sergio/Programming/MJara/Proyecto/data/original/pos
Set,Negs,TN,FP,Pos,TP,FN,Total,Precision,Recall,MeanTP,MeanTN,MeanFP,MeanFP
A_d800mm_R1,5389,5226,163,3593,3286,307,8982,0.95274,0.914556,-0.491762,1.16789,-0.146406,0.153365
A_d800mm_R2,5094,4980,114,3396,3207,189,8490,0.965673,0.944346,-0.580292,1.22447,-0.108586,0.1365
A_d800mm_R3,5304,5153,151,3536,3337,199,8840,0.956709,0.943722,-0.541187,1.1864,-0.150059,0.142556
A_d800mm_R4,5790,5646,144,3860,3609,251,9650,0.961631,0.934974,-0.551497,1.04623,-0.117457,0.153908
A_d800mm_R5,5250,5101,149,3500,3279,221,8750,0.956534,0.936857,-0.574595,1.13594,-0.115364,0.128744
A_d800mm_R6,8314,8141,173,5543,4696,847,13857,0.964469,0.847195,-0.536149,1.22657,-0.134261,0.21263
A_d800mm_R7,6429,6198,231,4286,3992,294,10715,0.9453,0.931405,-0.590233,0.932032,-0.142426,0.149134
A_d800mm_R8,7285,6926,359,4857,4011,846,12142,0.917849,0.825818,-0.532775,1.04848,-0.154237,0.233779
B_No_d800mm_R1,11665,11416,249,7777,7427,350,19442,0.967561,0.954996,-0.58327,1.16571,-0.161422,0.126675
B_No_d800mm_R2,10098,9906,192,6732,6424,308,16830,0.970979,0.954248,-0.563711,0.982709,-0.13911,0.116447
B_No_d800mm_R3,10513,10293,220,7009,6650,359,17522,0.967977,0.94878,-0.660924,1.13967,-0.157572,0.14569
B_No_d800mm_R4,11772,10995,777,7848,7117,731,19620,0.901571,0.906855,-0.536059,0.82603,-0.154225,0.152248
B_No_d800mm_R5,11811,11452,359,7874,7686,188,19685,0.955376,0.976124,-0.685235,0.949809,-0.145176,0.136995
B_No_d800mm_R6,11643,11357,286,7762,7312,450,19405,0.962359,0.942025,-0.618995,1.03699,-0.150669,0.144543
B_No_d800mm_R7,11566,11268,298,7711,7155,556,19277,0.960016,0.927895,-0.550091,1.04281,-0.157686,0.158031
