/home/sergio/Programming/MJara/Proyecto/data/original/pos,,,,,,,,,,,,,
Set,Negs,TN,FP,Pos,TP,FN,Total,Precision,Recall,MeanTP,MeanTN,MeanFP,MeanFP
A_d800mm_R1,5389,5339,50,3593,3323,270,8982,0.985176,0.924854,-6.14192E-15,1.68615E-14,-1.3948E-15,1.8065E-15
A_d800mm_R2,5094,5051,43,3396,3230,166,8490,0.986862,0.951119,-7.36348E-15,1.47826E-14,-1.28998E-15,1.7349E-15
A_d800mm_R3,5304,5247,57,3536,3405,131,8840,0.983536,0.962952,-7.3236E-15,1.58419E-14,-1.47339E-15,1.75305E-15
A_d800mm_R4,5790,5718,72,3860,3654,206,9650,0.980676,0.946632,-7.34251E-15,1.54635E-14,-1.24898E-15,2.15454E-15
A_d800mm_R5,5250,5194,56,3500,3291,209,8750,0.983269,0.940286,-7.86425E-15,1.67578E-14,-1.35943E-15,2.37495E-15
A_d800mm_R6,8314,8187,127,5543,5288,255,13857,0.976547,0.953996,-8.33468E-15,1.58901E-14,-1.4953E-15,1.94052E-15
A_d800mm_R7,6429,6347,82,4286,3967,319,10715,0.979748,0.925572,-7.6382E-15,1.53235E-14,-1.39503E-15,2.08589E-15
A_d800mm_R8,7285,7199,86,4857,4659,198,12142,0.981876,0.959234,-7.88049E-15,1.52148E-14,-1.87896E-15,1.93933E-15
B_No_d800mm_R1,11665,11532,133,7777,7512,265,19442,0.982603,0.965925,-8.05911E-15,1.59654E-14,-2.01224E-15,1.68959E-15
B_No_d800mm_R2,10098,9924,174,6732,6580,152,16830,0.974238,0.977421,-8.16688E-15,1.31111E-14,-1.78274E-15,1.59149E-15
B_No_d800mm_R3,10513,10348,165,7009,6805,204,17522,0.976327,0.970895,-9.37052E-15,1.32068E-14,-1.89868E-15,1.97152E-15
B_No_d800mm_R4,11772,11677,95,7848,7467,381,19620,0.987437,0.951453,-9.60104E-15,1.68702E-14,-1.93146E-15,2.16115E-15
B_No_d800mm_R5,11811,11576,235,7874,7646,228,19685,0.970181,0.971044,-9.85431E-15,1.2789E-14,-2.06833E-15,1.59708E-15
B_No_d800mm_R6,11643,11537,106,7762,7355,407,19405,0.985793,0.947565,-8.04488E-15,1.43938E-14,-1.54611E-15,2.52021E-15
B_No_d800mm_R7,11566,11363,203,7711,7607,104,19277,0.974008,0.986513,-9.28825E-15,1.43239E-14,-1.95272E-15,1.28248E-15
,,,,,,,,98.02%,95.79%,,,,
,,,,,,,,0.52%,1.76%,,,,
