/home/sergio/Programming/MJara/Proyecto/data/original/pos,,,,,,,,,,,,,
Set,Negs,TN,FP,Pos,TP,FN,Total,Precision,Recall,MeanTP,MeanTN,MeanFP,MeanFP
A_d800mm_R1,5389,5038,351,3593,3417,176,8982,0.906847,0.951016,-2.03952E-05,4.13316E-05,-5.67543E-06,5.79308E-06
A_d800mm_R2,5094,5038,56,3396,3226,170,8490,0.982937,0.949941,-1.95964E-05,4.24425E-05,-4.48463E-06,4.72125E-06
A_d800mm_R3,5304,5115,189,3536,3339,197,8840,0.946429,0.944287,-1.80521E-05,4.45155E-05,-5.53959E-06,0.000005234
A_d800mm_R4,5790,5712,78,3860,3559,301,9650,0.978554,0.922021,-0.000017121,4.27973E-05,-3.38138E-06,5.85737E-06
A_d800mm_R5,5250,5097,153,3500,3227,273,8750,0.954734,0.922,-1.73575E-05,3.56876E-05,-4.45593E-06,5.66113E-06
A_d800mm_R6,8314,8102,212,5543,5113,430,13857,0.960188,0.922425,-0.000021609,3.59091E-05,-4.05839E-06,4.8665E-06
A_d800mm_R7,6429,6239,190,4286,4025,261,10715,0.954923,0.939104,-1.96223E-05,3.57495E-05,-4.49153E-06,4.58091E-06
A_d800mm_R8,7285,7092,193,4857,4657,200,12142,0.960206,0.958822,-2.12025E-05,3.88075E-05,-4.40219E-06,4.57472E-06
B_No_d800mm_R1,11665,11441,224,7777,7261,516,19442,0.970073,0.93365,-2.01305E-05,3.68482E-05,-5.36479E-06,5.57451E-06
B_No_d800mm_R2,10098,9914,184,6732,6606,126,16830,0.972901,0.981283,-2.03542E-05,3.81603E-05,-4.73949E-06,2.80192E-06
B_No_d800mm_R3,10513,10223,290,7009,6712,297,17522,0.958583,0.957626,-0.000022022,0.000036283,-5.38592E-06,5.66646E-06
B_No_d800mm_R4,11772,11598,174,7848,7609,239,19620,0.977644,0.969546,-2.27766E-05,3.99095E-05,-5.3095E-06,5.2032E-06
B_No_d800mm_R5,11811,11544,267,7874,7600,274,19685,0.966061,0.965202,-2.10317E-05,3.45768E-05,-4.87809E-06,6.32417E-06
B_No_d800mm_R6,11643,11364,279,7762,7142,620,19405,0.962404,0.920124,-1.90574E-05,0.000034766,-0.000004625,6.27765E-06
B_No_d800mm_R7,11566,11223,343,7711,7336,375,19277,0.955333,0.951368,-2.12039E-05,3.47329E-05,-5.30666E-06,5.04256E-06
,,,,,,,,96.05%,94.59%,,,,
,,,,,,,,1.81%,1.91%,,,,
