/home/sergio/Programming/MJara/Proyecto/data/original/pos,,,,,,,,,,,,,
Set,Negs,TN,FP,Pos,TP,FN,Total,Precision,Recall,MeanTP,MeanTN,MeanFP,MeanFP
A_d800mm_R1,5389,5038,351,3593,3417,176,8982,0.906847,0.951016,-0.000000005,1.00899E-08,-1.38549E-09,1.41421E-09
A_d800mm_R2,5094,5038,56,3396,3226,170,8490,0.982937,0.949941,-4.78389E-09,1.03611E-08,-1.09479E-09,1.15256E-09
A_d800mm_R3,5304,5115,189,3536,3339,197,8840,0.946429,0.944287,-4.40691E-09,1.08672E-08,-1.35233E-09,1.27772E-09
A_d800mm_R4,5790,5712,78,3860,3559,301,9650,0.978554,0.922021,-4.1796E-09,1.04477E-08,-8.25467E-10,1.42991E-09
A_d800mm_R5,5250,5097,153,3500,3227,273,8750,0.954734,0.922,-4.23733E-09,8.7121E-09,-1.08779E-09,1.382E-09
A_d800mm_R6,8314,8102,212,5543,5113,430,13857,0.960188,0.922425,-5.27521E-09,8.76618E-09,-0.000000001,1.18802E-09
A_d800mm_R7,6429,6239,190,4286,4025,261,10715,0.954923,0.939104,-4.79023E-09,8.72722E-09,-1.09648E-09,1.1183E-09
A_d800mm_R8,7285,7092,193,4857,4657,200,12142,0.960206,0.958822,-5.17599E-09,9.47374E-09,-1.07467E-09,1.11679E-09
B_No_d800mm_R1,11665,11441,224,7777,7261,516,19442,0.970073,0.93365,-4.91428E-09,0.000000009,-1.30966E-09,1.36086E-09
B_No_d800mm_R2,10098,9914,184,6732,6606,126,16830,0.972901,0.981283,-0.000000005,9.31573E-09,-1.15701E-09,6.84009E-10
B_No_d800mm_R3,10513,10223,290,7009,6712,297,17522,0.958583,0.957626,-5.37603E-09,8.85744E-09,-1.31482E-09,1.3833E-09
B_No_d800mm_R4,11772,11598,174,7848,7609,239,19620,0.977644,0.969546,-5.56025E-09,9.74275E-09,-1.29616E-09,1.27021E-09
B_No_d800mm_R5,11811,11544,267,7874,7600,274,19685,0.966061,0.965202,-5.13427E-09,8.44093E-09,-1.19084E-09,1.54386E-09
B_No_d800mm_R6,11643,11364,279,7762,7142,620,19405,0.962404,0.920124,-4.65231E-09,8.48712E-09,-1.12907E-09,1.53251E-09
B_No_d800mm_R7,11566,11223,343,7711,7336,375,19277,0.955333,0.951368,-5.17633E-09,8.47905E-09,-1.29547E-09,1.231E-09
,,,,,,,,96.05%,94.59%,,,,
,,,,,,,,1.81%,1.91%,,,,
